alpha               	lift__N             	drag__N             	liftLin__N          	dragLin__N          	
-3.141593e+00       	1.191559e-21        	-2.757111e-06       	-3.056713e-05       	-2.757111e-06       	
-3.110019e+00       	3.054967e-07        	-2.934579e-06       	-3.025992e-05       	-2.757111e-06       	
-3.078445e+00       	5.963793e-07        	-3.445849e-06       	-2.995271e-05       	-2.757111e-06       	
-3.046871e+00       	8.765286e-07        	-4.236217e-06       	-2.964551e-05       	-2.757111e-06       	
-3.015297e+00       	1.133671e-06        	-5.232922e-06       	-2.933830e-05       	-2.757111e-06       	
-2.983724e+00       	1.371369e-06        	-6.365966e-06       	-2.903109e-05       	-2.757111e-06       	
-2.952150e+00       	1.592815e-06        	-7.579737e-06       	-2.872388e-05       	-2.757111e-06       	
-2.920576e+00       	1.801415e-06        	-8.836787e-06       	-2.841668e-05       	-2.757111e-06       	
-2.889002e+00       	1.999690e-06        	-1.011509e-05       	-2.810947e-05       	-2.757111e-06       	
-2.857428e+00       	2.188964e-06        	-1.140292e-05       	-2.780226e-05       	-2.757111e-06       	
-2.825855e+00       	2.369596e-06        	-1.269424e-05       	-2.749505e-05       	-2.757111e-06       	
-2.794281e+00       	2.541365e-06        	-1.398571e-05       	-2.718785e-05       	-2.757111e-06       	
-2.762707e+00       	2.703779e-06        	-1.527504e-05       	-2.688064e-05       	-2.757111e-06       	
-2.731133e+00       	2.856248e-06        	-1.656034e-05       	-2.657343e-05       	-2.757111e-06       	
-2.699560e+00       	2.998177e-06        	-1.783981e-05       	-2.626623e-05       	-2.757111e-06       	
-2.667986e+00       	3.128992e-06        	-1.911167e-05       	-2.595902e-05       	-2.757111e-06       	
-2.636412e+00       	3.248161e-06        	-2.037411e-05       	-2.565181e-05       	-2.757111e-06       	
-2.604838e+00       	3.355196e-06        	-2.162532e-05       	-2.534460e-05       	-2.757111e-06       	
-2.573264e+00       	3.449655e-06        	-2.286349e-05       	-2.503740e-05       	-2.757111e-06       	
-2.541691e+00       	3.531147e-06        	-2.408679e-05       	-2.473019e-05       	-2.757111e-06       	
-2.510117e+00       	3.599330e-06        	-2.529339e-05       	-2.442298e-05       	-2.757111e-06       	
-2.478543e+00       	3.653916e-06        	-2.648146e-05       	-2.411577e-05       	-2.757111e-06       	
-2.446969e+00       	3.694669e-06        	-2.764919e-05       	-2.380857e-05       	-2.757111e-06       	
-2.415395e+00       	3.721408e-06        	-2.879475e-05       	-2.350136e-05       	-2.757111e-06       	
-2.383822e+00       	3.734008e-06        	-2.991634e-05       	-2.319415e-05       	-2.757111e-06       	
-2.352248e+00       	3.732398e-06        	-3.101220e-05       	-2.288694e-05       	-2.757111e-06       	
-2.320674e+00       	3.716566e-06        	-3.208057e-05       	-2.257974e-05       	-2.757111e-06       	
-2.289100e+00       	3.686551e-06        	-3.311971e-05       	-2.227253e-05       	-2.757111e-06       	
-2.257526e+00       	3.642453e-06        	-3.412794e-05       	-2.196532e-05       	-2.757111e-06       	
-2.225953e+00       	3.584425e-06        	-3.510359e-05       	-2.165812e-05       	-2.757111e-06       	
-2.194379e+00       	3.512674e-06        	-3.604504e-05       	-2.135091e-05       	-2.757111e-06       	
-2.162805e+00       	3.427464e-06        	-3.695073e-05       	-2.104370e-05       	-2.757111e-06       	
-2.131231e+00       	3.329111e-06        	-3.781912e-05       	-2.073649e-05       	-2.757111e-06       	
-2.099657e+00       	3.217980e-06        	-3.864875e-05       	-2.042929e-05       	-2.757111e-06       	
-2.068084e+00       	3.094491e-06        	-3.943820e-05       	-2.012208e-05       	-2.757111e-06       	
-2.036510e+00       	2.959110e-06        	-4.018612e-05       	-1.981487e-05       	-2.757111e-06       	
-2.004936e+00       	2.812351e-06        	-4.089121e-05       	-1.950766e-05       	-2.757111e-06       	
-1.973362e+00       	2.654772e-06        	-4.155226e-05       	-1.920046e-05       	-2.757111e-06       	
-1.941788e+00       	2.486975e-06        	-4.216811e-05       	-1.889325e-05       	-2.757111e-06       	
-1.910215e+00       	2.309601e-06        	-4.273768e-05       	-1.858604e-05       	-2.757111e-06       	
-1.878641e+00       	2.123330e-06        	-4.325999e-05       	-1.827884e-05       	-2.757111e-06       	
-1.847067e+00       	1.928876e-06        	-4.373409e-05       	-1.797163e-05       	-2.757111e-06       	
-1.815493e+00       	1.726987e-06        	-4.415917e-05       	-1.766442e-05       	-2.757111e-06       	
-1.783919e+00       	1.518439e-06        	-4.453445e-05       	-1.735721e-05       	-2.757111e-06       	
-1.752346e+00       	1.304035e-06        	-4.485929e-05       	-1.705001e-05       	-2.757111e-06       	
-1.720772e+00       	1.084600e-06        	-4.513309e-05       	-1.674280e-05       	-2.757111e-06       	
-1.689198e+00       	8.609811e-07        	-4.535536e-05       	-1.643559e-05       	-2.757111e-06       	
-1.657624e+00       	6.340396e-07        	-4.552572e-05       	-1.612838e-05       	-2.757111e-06       	
-1.626050e+00       	4.046513e-07        	-4.564386e-05       	-1.582118e-05       	-2.757111e-06       	
